Name,CountryOrRegion,Affiliations,CareerStage,City,Current CountryORRegion
Aleksandra Lazić,Serbia,"University of Belgrade, Faculty of Philosophy, Laboratory for Research of Individual Differences",PhD Candidate,Belgrade,Serbia
Ali H. Al-Hoorie,Saudi Arabia,Royal Commission for Jubail and Yanbu,Associate Professor,Jubail,Saudi Arabia
Alma Jeftić,Bosnia-Herzegovina,University of Copenhagen (Denmark); International Christian University (Tokyo),PostDoc,Copenhagen & Tokyo,Denmark
Alma Jeftić,Bosnia-Herzegovina,University of Copenhagen (Denmark); International Christian University (Tokyo),PostDoc,Tokyo,Japan
Amna Ben Amara,Tunisia,"University of Sousse, Tunisia",PhD candidate/ Senior Researcher,,Tunisia
Asil Özdoğru,Turkey,Marmara University,Associate Professor,ƒ∞stanbul,Turkey
Biljana Gjoneska,North Macedonia,Macedonian Academy of Sciences and Arts,Research Associate,Skopje,North Macedonia
Bita Vahdani,Iran,Tehran University of Medical Sciences,Fellow of Neuropsychiatry,Tehran,Iran
Chinchu C.,India,Pondicherry University,Assistant Professor,Pondicherry,India
Clarissa F. D. Carneiro,Brazil,BIH QUEST Center for Responsible Research,ECR / post doc,"Rio de Janeiro, Rio de Janeiro",Brazil
Daniel Fatori,Brazil,"University of Sao Paulo Medical School, Department of Psychiatry",Senior researcher,São Paulo,Brazil
Danka Purić,Serbia,"University of Belgrade, Faculty of Philosophy, Department of Psychology and Laboratory for Research of Individual Differences",Associate Professor,Belgrade,Serbia
David Moreau,Pacific Islands,The University of Auckland,Professor,,New Zealand
Felipe Vilanova,Brazil,Pontificia Universidade Catolica do Rio Grande do Sul,PhD Candidate,São Paulo,Brazil
Flavio Azevedo,Brazil,University of Utrecht,Ass Prof,Utrecht,Netherlands
Frankie Fong,Malaysia,Max Planck Institute for Evolutionary Anthropology; University of Queensland,Postdoc,,Malaysia
Han-Wu-Shuang Bao,China,East China Normal University,Assistant Professor,Shanghai,China
Hu Chuan-Peng,China,Nanjing Normal University,Faculty member (Equalevant to Ass Prof in the U.S.),Nanjing,China
Iris Žeželj,Serbia,"University of Belgrade, Faculty of Philosophy, Department of Psychology and Laboratory for Research of Individual Differences",professor,Belgrade,Serbia
Jamal Amani Rad,Iran,"Institute for Cognitive and Brain Sciences (ICBS), Shahid Beheshti University",Assistant Professor,Tehran,Iran
Joseph Almazan,Kazakhstan,Nazarbayev University,,,Kazakhstan
Joseph Almazan,Philippines,Nazarbayev University,,,Philippines
Juan Diego García-Castro,Chile,Universidad de Chile,Professor,Santiago,Costa Rica
Juan Diego García-Castro,Costa Rica,University of Costa Rica,Full professor,San Ramón,Costa Rica
Leher Singh,India,National University of Singapore,,,Singapore
Leonardo Seda,Brazil,"University of Sao Paulo Medical School, Department of Psychiatry",ECR/ Master's degree student,Sao Paulo,Brazil
Ljiljana B. Lazarevic,Serbia,"University of Belgrade, Faculty of Philosophy, Laboratory for Research of Individual Differences",principal research fellow,Belgrade,Serbia
Mahmoud Elsherif,Egypt,"School of Psychology, University of Birmingham; School of Psychology, University of Nottingham",Research Associate ,"Birmingham, UK",UK
Marcelo Camargo Batistuzzo,Brazil,"Department of Psychiatry, Faculdade de Medicina, Universidade de S√£o Paulo / Department of Methods and Techniques in Psychology, Pontifical Catholic University",Professor,São Paulo,Brazil
Meng Liu,China,"School of English and International Studies, Beijing Foreign Studies University",Assistant Professor,Beijing,China
Mirela Zaneva,Bulgaria,University of Oxford,Junior Research Fellow,Sofia (currently in Oxford UK),UK
Nadia Coral Frias ,Mexico,Universidad de Sonora (Unison),Professor,,Mexico
Nadica Miljković,Slovenia,"Faculty of Electrical Engineering, University of Ljubljana (Slovenia)",Associate Professor,Ljubljana,Slovenia
Nadica Miljković,Serbia,University of Belgrade - School of Electrical Engineering (Serbia) ,Associate Professor,Belgrade,Serbia
Nikita Ghodke,India,New York University,Masters Student,New York,USA
Obrad Vučkovac,Serbia,University of Belgrade - Vinƒça Institute of Nuclear Sciences,Librarian,Belgrade,Serbia
Olavo B. Amaral,Brazil,Universidade Federal do Rio de Janeiro,Associate Professor,"Rio de Janeiro, Rio de Janeiro",Brazil
Piyali Bhattacharya,India,University of Birmingham,PhD student ,Birmingham,UK
Pooja Kulkarni ,India,University of Mumbai ,Postgraduate student ,Mumbai,India 
Saad Almajed,Saudi Arabia,University of Leicester,Post doctoral researcher,Leicester,UK
Saida Heshmati,Iran,Claremont Graduate University,Assistant Professor,,Iran
Sakshi Ghai,India,University of Oxford,Post doctoral researcher,Oxford,UK
Samiul Hossain,Bangladesh,Murdoch University,Lecturer/ECR,Perth,Australia
Shubham Pandey,India,"Indian Institute of Technology Bombay, Mumbai",Research Associate ,Mumbai,India
Yin Wang,China,"State Key Laboratory of Cognitive Neuroscience and Learning, and IDG/McGovern Institute for Brain Research, Beijing Normal University",Associate Professor,Beijing,China
Zahra Khorami,Iran,University of Leicester ,PhD student ,Leicester,Iran
Zhiqi Xu,China,International Institute of Social Studies,PhD Candidate,Rotterdam,Netherlands
Zlatomira Ilchovska,Bulgaria,"School of Psychology, University of Birmingham; School of Psychology, University of Nottingham",Post-doctoral researcher,Sofia (Bulgaria) & Nottingham (UK),UK
